setid,Temperature (K),Pressure (kPa),Density (kg/m3),reference,phases,Mole fraction,Mole fraction of compound name,Weight fraction,Weight fraction of compound name,IL_SMILES,IL_name,IL_ID,Solvent_SMILES,Solvent_name,Solvent_ID,IL_cation_SMILES,IL_anion_SMILES,IL_component_number,Mole fraction of solvent,IL_MW,Solvent_MW,Record_ID,Contains_Metal,Standardized_IL_SMILES,Changes
WYElD,283.15,101.0,793.7,Yang et al. (2019b),Liquid,0.0,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),,,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),ABIhVd,CC(C)O,propan-2-ol,AALcwx,,,3,,,,1,False,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,No changes
WYElD,283.15,101.0,905.3,Yang et al. (2019b),Liquid,0.1001,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),,,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),ABIhVd,CC(C)O,propan-2-ol,AALcwx,,,3,,,,2,False,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,No changes
WYElD,283.15,101.0,978.6,Yang et al. (2019b),Liquid,0.2,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),,,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),ABIhVd,CC(C)O,propan-2-ol,AALcwx,,,3,,,,3,False,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,No changes
WYElD,283.15,101.0,1028.8,Yang et al. (2019b),Liquid,0.2999,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),,,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),ABIhVd,CC(C)O,propan-2-ol,AALcwx,,,3,,,,4,False,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,No changes
WYElD,283.15,101.0,1065.9,Yang et al. (2019b),Liquid,0.4,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),,,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),ABIhVd,CC(C)O,propan-2-ol,AALcwx,,,3,,,,5,False,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,No changes
WYElD,283.15,101.0,1094.2,Yang et al. (2019b),Liquid,0.5001,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),,,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),ABIhVd,CC(C)O,propan-2-ol,AALcwx,,,3,,,,6,False,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,No changes
WYElD,283.15,101.0,1114.8,Yang et al. (2019b),Liquid,0.5998,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),,,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),ABIhVd,CC(C)O,propan-2-ol,AALcwx,,,3,,,,7,False,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,No changes
WYElD,283.15,101.0,1130.4,Yang et al. (2019b),Liquid,0.7002,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),,,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),ABIhVd,CC(C)O,propan-2-ol,AALcwx,,,3,,,,8,False,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,No changes
WYElD,283.15,101.0,1143.0,Yang et al. (2019b),Liquid,0.8001,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),,,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),ABIhVd,CC(C)O,propan-2-ol,AALcwx,,,3,,,,9,False,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,No changes
WYElD,283.15,101.0,1153.8,Yang et al. (2019b),Liquid,0.8985,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),,,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),ABIhVd,CC(C)O,propan-2-ol,AALcwx,,,3,,,,10,False,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,No changes
WYElD,283.15,101.0,1162.8,Yang et al. (2019b),Liquid,1.0,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),,,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),ABIhVd,CC(C)O,propan-2-ol,AALcwx,,,3,,,,11,False,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,No changes
WYElD,288.15,101.0,789.6,Yang et al. (2019b),Liquid,0.0,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),,,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),ABIhVd,CC(C)O,propan-2-ol,AALcwx,,,3,,,,12,False,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,No changes
WYElD,288.15,101.0,901.8,Yang et al. (2019b),Liquid,0.1001,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),,,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-3-(3-(trimethylammonio)propyl)-1H-imidazolium bis(dicyanamide),ABIhVd,CC(C)O,propan-2-ol,AALcwx,,,3,,,,13,False,C[n+]1ccn(CCC[N+](C)(C)C)c1.N#C[N-]C#N.N#C[N-]C#N,No changes
